"Data Import Template"
"Table:","Warehouse"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Warehouse","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Warehouse Name","Company","Created On","Created By","Is Group Warehouse","Parent Warehouse","Is Rejected Warehouse","Account","Phone No","Mobile No","Address Line 1","Address Line 2","City","State/Province","PIN","Warehouse Type","Default In-Transit Warehouse"
"Column Name:","name","warehouse_name","company","creation","owner","is_group","parent_warehouse","is_rejected_warehouse","account","phone_no","mobile_no","address_line_1","address_line_2","city","state","pin","warehouse_type","default_in_transit_warehouse"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Data","Link","Datetime","Link","Check","Link","Check","Link","Data","Data","Data","Data","Data","Data","Data","Link","Link"
"Info:","","","Valid Company","dd-mm-yyyy","Valid User","0 or 1","Valid Warehouse","0 or 1","Valid Account","","","","","","","","Valid Warehouse Type","Valid Warehouse"
"Start entering data below this line"
"","""Bandra FOH - HIHPL""","Bandra FOH","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.740249","Administrator",0,"Bandra Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Bandra Kitchen - HIHPL""","Bandra Kitchen","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.766771","Administrator",0,"Bandra Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Kalaghoda Warehouse - HIHPL""","Kalaghoda Warehouse","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.713410","Administrator",1,"",0,"","","","","","","","","",""
"","""Kalaghoda Kitchen - HIHPL""","Kalaghoda Kitchen","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.790302","Administrator",0,"Kalaghoda Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Kalaghoda FOH - HIHPL""","Kalaghoda FOH","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.815801","Administrator",0,"Kalaghoda Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Palladium Warehouse - HIHPL""","Palladium Warehouse","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.731365","Administrator",1,"",0,"","","","","","","","","",""
"","""Palladium FOH - HIHPL""","Palladium FOH","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.841772","Administrator",0,"Palladium Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Palladium Kitchen - HIHPL""","Palladium Kitchen","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.868958","Administrator",0,"Palladium Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Oshiwara Warehouse - HIHPL""","Oshiwara Warehouse","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.748395","Administrator",1,"",0,"","","","","","","","","",""
"","""Oshiwara Kitchen - HIHPL""","Oshiwara Kitchen","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.894072","Administrator",0,"Oshiwara Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Oshiwara FOH - HIHPL""","Oshiwara FOH","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.918034","Administrator",0,"Oshiwara Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Child Brand Warehouses - HIHPL""","Child Brand Warehouses","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.765671","Administrator",1,"",0,"","","","","","","","","",""
"","""The Bombay Canteen IBT - HIHPL""","The Bombay Canteen IBT","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.944915","Administrator",0,"Child Brand Warehouses - HIHPL",0,"","","","","","","","","",""
"","""Veronicas IBT - HIHPL""","Veronicas IBT","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.969255","Administrator",0,"Child Brand Warehouses - HIHPL",0,"","","","","","","","","",""
"","""O Pedro IBT - HIHPL""","O Pedro IBT","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.995200","Administrator",0,"Child Brand Warehouses - HIHPL",0,"","","","","","","","","",""
"","""Dark Stores - HIHPL""","Dark Stores","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.782411","Administrator",1,"",0,"","","","","","","","","",""
"","""CZ- Kharghar - HIHPL""","CZ- Kharghar","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:37.021357","Administrator",0,"Dark Stores - HIHPL",0,"","","","","","","","","",""
"","""CZ- Matunga - HIHPL""","CZ- Matunga","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:37.050611","Administrator",0,"Dark Stores - HIHPL",0,"","","","","","","","","",""
"","""CZ- Mulund - HIHPL""","CZ- Mulund","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:37.076751","Administrator",0,"Dark Stores - HIHPL",0,"","","","","","","","","",""
"","""Juhu Warehouse - HIHPL""","Juhu Warehouse","Hunger Inc Hospitality Private Limited","2026-05-11 12:05:28.206596","Administrator",1,"",0,"","","","","","","","","",""
"","""Juhu FOH - HIHPL""","Juhu FOH","Hunger Inc Hospitality Private Limited","2026-05-11 12:05:39.450075","Administrator",0,"Juhu Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Juhu Kitchen - HIHPL""","Juhu Kitchen","Hunger Inc Hospitality Private Limited","2026-05-11 12:06:11.036735","Administrator",0,"Juhu Warehouse - HIHPL",0,"","","","","","","","","",""
