BSS — HyperKitchen/CakeZone SKU → ERP Item mapping,,,,,,,,,,,,
"No numeric key exists (HK Sku/Id ≠ ERP Shopify SKU) → matched by product name. REVIEW col E, then col J 'HK SKU to write' becomes the custom_hk_sku import.",,,,,,,,,,,,
,,,,,,,,,,,,
HK Id,Brand / Category,HK SKU,HK Product Name,Match quality,Score,ERP Item Code,ERP Item Name,ERP Shopify SKU,HK SKU to write,Size/qty check,Top full-catalog candidates,
10306486,Bombay Sweet Shop,9644,#_# Indian Cookies - BSS,"STRONG (full catalog, no Shopify SKU)",100,COMB-032,Indian Cookies-Pack of 3,,9644,,COMB-032=Indian Cookies-Pack of 3 (100) | BSS-1491=READY - INDIAN COOKIE TIN (70) | BSS-0457=STICKER - INDIAN COOKIE BOP (66),
20041565,Bombay Sweet Shop,18580,#_# Kimchi Popped Chips - BSS,STRONG (shopify catalog),100,COMB-102,Kimchi Popped Chips-Pack of 3,COMB-102,18580,,COMB-102=Kimchi Popped Chips-Pack of 3 (100) | BSS-3094=KIMCHI CHICKPEA POPPED CHIPS (80) | BSS-3419=KIMCHI POPPED CHIPS 30GM - RTS (80),
10306579,Bombay Sweet Shop,9696,#_# Large Green Gift Bag - BSS,STRONG (shopify catalog),100,PKG-BAG-006,Large Green Gift Bag,PKG-BAG-006,9696,,PKG-BAG-006=Large Green Gift Bag (100) | BSS-0337=BAG - LARGE GREEN GIFT BAG (90) | PKG-BAG-005=Small Red Gift Bag (68),
22152652,Bombay Sweet Shop,20359,#_# Mango Ghevar - BSS,STRONG (shopify catalog),100,FRE-MNG-GVR-GM-001,Mango Ghevar,FRE-MNG-GVR-GM-001,20359,,FRE-MNG-GVR-GM-001=Mango Ghevar (100) | BSS-4189=MANGO GHEVAR - 2026 (82) | BSS-0164=MANGO GINGER (75),
12105194,Bombay Sweet Shop,12940,#_# Mango Kalakand Cheesecake - BSS,STRONG (shopify catalog),100,FRE-MNG-KLK-GM-001,Mango Kalakand Cheesecake,FRE-MNG-KLK-GM-001,12940,,BSS-4188=MANGO KALAKAND CHEESECAKE (100) | BSS-4334=MANGO KALAKAND CHEESECAKE- DINE IN (86) | BSS-4241=MANGO KALAKAND CHEESECAKE (RTS) - 2026 (84),
12123480,Bombay Sweet Shop,12938,#_# Mango Matcha Rasgulla Tiramisu - BSS,STRONG (shopify catalog),100,FRE-MRT-001,Mango & Matcha Rasgulla Tiramisu,FRE-MRT-001,12938,,FRE-MRT-001=Mango & Matcha Rasgulla Tiramisu (100) | BSS-2338=MANGO MATCHA TIRAMISU (82) | BSS-1240=STICKER - MANGO & MATCHA RASGULLA TIRAMISU (2026) (82),
17187643,Bombay Sweet Shop,16223,#_# Mango Mithai Box of 3 - BSS,STRONG (shopify catalog),100,MITH-ASM-MNG-3 PC,Mango Mithai Box of 3,MITH-ASM-MNG-3 PC,16223,,MITH-ASM-MNG-3 PC=Mango Mithai Box of 3 (100) | PRODUCT453275=Mango Mithai - Box of 9 (95) | BSS-0022=BOX - MITHAI BOX OF 3 (85),
13586591,Bombay Sweet Shop,13907,#_# Mighty Motichur Laddu - Box of 9 - BSS,STRONG (shopify catalog),100,MITH-MOTI-9PCS,Mighty Motichur Laddu - Box of 9,MITH-MOTI-9PCS,13907,,MITH-MOTI-9PCS=Mighty Motichur Laddu - Box of 9 (100) | PRODUCT350996=Mighty Motichur Laddu - Box of 18 (95) | BSS-1827=MIGHTY MOTICHUR - 9 (IN MAP) (74),
14062397,Bombay Sweet Shop,14063,#_# Namkeen Jeera Cookies - BSS,"STRONG (full catalog, no Shopify SKU)",100,COMB-033,Namkeen Jeera Cookies-Pack of 3,,14063,,COMB-033=Namkeen Jeera Cookies-Pack of 3 (100) | BSS-1670=NAMKIN JEERA COOKIE - (RTS) (81) | BSS-1684=READY - NAMKEEN JEERA COOKIES TIN (80),
20042207,Bombay Sweet Shop,18582,#_# Pepper Almonds - BSS,STRONG (shopify catalog),100,NUT-110GM-004,Pepper Almonds,NUT-110GM-004,18582,,NUT-110GM-004=Pepper Almonds (100) | BSS-1160=PEPPER ALMONDS 110GMS (80) | BSS-3491=SALT & PEPPER ALMONDS 50 GMS (70),
